Region,Employed,Unemployed,Age,Education,LocationOfWork,Industry
1,1,0,60,60413,3301,96
1,1,0,41,24015,3301,41
1,1,0,39,60002,3301,96
1,1,0,35,60111,1102,82
1,1,0,32,60003,3301,56
1,1,0,36,24015,3311,84
1,1,0,32,24015,3311,84
1,1,0,56,24015,3311,1
1,1,0,57,24015,3311,84
1,1,0,33,60612,1102,26
1,0,1,55,40713,0,0
1,1,0,54,60111,3311,85
1,0,1,23,60313,0,0
1,0,1,55,24015,0,0
1,1,0,66,10018,3311,84
1,1,0,33,24015,3311,1
1,1,0,32,24015,3311,56
1,1,0,62,24012,3311,1
1,0,1,30,60913,0,0
1,1,0,57,24015,3311,1
1,1,0,63,10018,3311,1
1,1,0,59,24015,3311,1
1,1,0,31,24012,3311,41
1,0,1,74,24012,0,0
1,1,0,72,24015,3311,1
1,1,0,73,10018,3311,1
1,1,0,32,24015,3311,1
1,0,1,68,24015,0,0
1,1,0,48,10014,3311,1
1,1,0,47,24011,3311,84
1,1,0,20,35011,3311,1
1,1,0,38,24015,3311,49
1,0,1,55,24015,0,0
1,1,0,53,24015,3311,1
1,0,1,73,24015,0,0
1,1,0,44,24012,3302,1
1,1,0,38,60915,3314,86
1,1,0,40,60314,3314,84
1,1,0,50,24015,3314,41
1,1,0,27,41013,3314,56
1,1,0,50,24015,3314,96
1,1,0,47,24015,3314,49
1,1,0,47,24015,3314,96
1,1,0,20,24015,3314,41
1,0,1,21,34011,0,0
1,1,0,49,24015,3314,49
1,1,0,38,24015,3314,96
1,1,0,56,60002,3314,18
1,1,0,56,60413,3314,84
1,1,0,28,60612,3314,82
1,1,0,49,60913,3314,47
1,1,0,32,24013,3314,49
1,1,0,34,24015,3314,47
1,1,0,25,24015,3314,47
1,1,0,33,24015,3314,47
1,1,0,64,24012,3314,47
1,1,0,27,24015,3314,41
1,1,0,34,10012,3314,47
1,1,0,38,60715,3314,68
1,1,0,38,60913,3314,86
1,1,0,49,24015,3314,45
1,1,0,51,60111,3314,85
1,1,0,56,24013,3314,41
1,1,0,52,10018,3314,96
1,1,0,34,61041,1102,26
1,1,0,32,60413,3314,47
1,0,1,23,24012,0,0
1,1,0,28,24015,3314,41
1,1,0,42,24013,3314,47
1,0,1,22,60913,0,0
1,1,0,38,24012,3314,11
1,1,0,22,24015,3314,41
1,1,0,19,24015,3314,41
1,0,1,17,10018,0,0
1,1,0,45,0,3314,49
1,1,0,44,0,3314,84
1,1,0,31,60411,3314,69
1,1,0,25,60001,3314,56
1,1,0,37,24015,3315,1
1,1,0,45,60111,3315,85
1,1,0,20,60002,3315,1
1,1,0,41,60002,3315,84
1,1,0,29,24015,3315,1
1,1,0,68,10018,3315,1
1,1,0,65,10018,3315,1
1,1,0,28,24015,3315,41
1,1,0,22,60003,3315,1
1,1,0,23,60003,3315,41
1,1,0,25,60612,3314,56
1,1,0,75,24011,3315,1
1,1,0,49,50716,3315,92
1,1,0,20,60001,3314,56
1,1,0,64,10018,3315,1
1,1,0,56,10018,3315,1
1,1,0,59,24015,3315,1
1,1,0,37,10013,3315,1
1,1,0,34,61013,3314,56
1,1,0,57,24013,3315,1
1,1,0,29,60003,3315,1
1,1,0,36,24012,3315,1
1,1,0,63,24013,3315,84
1,1,0,61,24013,3315,56
1,1,0,23,60413,3315,84
1,1,0,62,10014,3315,1
1,1,0,55,10018,3315,1
1,1,0,33,24015,3315,1
1,1,0,59,10018,3315,1
1,1,0,39,60111,3319,85
1,1,0,42,24012,3319,1
1,1,0,29,60713,3319,85
1,1,0,39,10018,3319,45
1,1,0,40,24015,3319,96
1,1,0,76,10018,3319,1
1,1,0,22,60003,3314,56
1,1,0,43,60001,3319,47
1,1,0,35,24015,3314,80
1,1,0,34,10018,3315,41
1,1,0,54,24015,3319,1
1,1,0,60,24015,3319,1
1,1,0,35,24015,3319,1
1,1,0,55,60001,3319,1
1,1,0,50,60002,3319,47
1,1,0,27,24015,3319,1
1,1,0,25,24015,3319,1
1,0,1,20,34013,0,0
1,1,0,43,10018,3319,1
1,1,0,59,24015,3319,1
1,1,0,33,24015,3319,41
1,1,0,54,24015,3319,84
1,1,0,31,60111,3319,84
1,1,0,57,60111,3319,85
1,1,0,33,60811,3319,46
1,1,0,30,60111,3319,85
1,1,0,24,60313,3319,84
1,1,0,46,60314,3314,84
1,0,1,23,60314,0,0
1,1,0,68,10012,3319,1
1,1,0,33,24015,3319,1
1,1,0,27,10018,3319,1
1,1,0,37,61041,3319,41
1,1,0,74,10018,3320,84
1,1,0,57,10013,3320,96
1,1,0,19,34013,3320,47
1,1,0,30,24015,3320,41
1,0,1,57,24015,0,0
1,1,0,62,24015,3320,1
1,1,0,36,24015,3307,41
1,1,0,34,24015,3320,47
1,1,0,70,10013,3320,1
1,1,0,38,10015,3312,46
1,1,0,40,10013,3320,1
1,1,0,38,10014,3320,1
1,1,0,36,24015,1102,55
1,0,1,77,10015,0,0
1,1,0,73,60001,3320,11
1,1,0,74,40415,3320,11
1,1,0,49,24015,3320,1
1,1,0,39,10014,3320,1
1,1,0,20,35013,3320,41
1,0,1,21,34023,0,0
1,1,0,66,24015,3320,47
1,1,0,33,24015,3320,47
1,1,0,43,24015,3320,96
1,1,0,42,10018,3320,41
1,1,0,58,24015,3320,41
1,0,1,32,50714,0,0
1,1,0,27,60511,1102,26
1,1,0,27,60314,3314,84
1,1,0,24,35013,3309,10
1,1,0,61,10015,3320,84
1,1,0,52,24011,3320,96
1,1,0,24,35013,3320,41
1,1,0,29,24015,1102,47
1,1,0,51,60913,3320,1
1,1,0,50,60915,3320,56
1,0,1,65,50714,0,0
1,0,1,39,60002,0,0
1,1,0,59,10018,5511,84
1,1,0,53,10018,5511,56
1,0,1,30,24015,0,0
1,1,0,18,34011,5511,1
1,0,1,61,24011,0,0
1,1,0,34,24011,5511,1
1,1,0,34,24011,5511,1
1,1,0,37,24013,5531,41
1,1,0,44,24015,5511,84
1,1,0,64,24015,5511,84
1,1,0,67,24015,5546,47
1,1,0,31,24015,5511,80
1,0,1,61,24015,0,0
1,1,0,31,24015,5511,49
1,1,0,27,60111,5511,85
1,1,0,27,60111,5517,85
1,1,0,70,10018,5511,92
1,1,0,42,60111,5524,85
1,1,0,35,24015,5511,41
1,0,1,60,24015,0,0
1,0,1,26,60413,0,0
1,1,0,47,60002,5511,49
1,1,0,47,60111,5511,47
1,1,0,25,60111,5511,84
1,1,0,23,60111,5511,47
1,1,0,19,60001,5511,47
1,1,0,69,60913,5511,47
1,1,0,60,60411,5511,47
1,1,0,64,24015,5511,96
1,1,0,57,10018,5522,31
1,1,0,28,24015,5522,31
1,1,0,32,10018,5522,31
1,1,0,31,60612,5522,45
1,1,0,31,60913,5513,86
1,0,1,61,60413,0,0
1,1,0,19,24013,5513,47
1,1,0,45,60002,5518,47
1,1,0,51,60421,5522,84
1,1,0,46,60003,5513,31
1,1,0,26,60003,5513,84
1,1,0,24,24015,5513,31
1,1,0,61,10018,5513,31
1,1,0,33,24015,5522,10
1,1,0,70,24015,5513,47
1,1,0,21,60002,5513,47
1,1,0,62,10018,5513,31
1,1,0,60,24015,5513,47
1,1,0,20,10013,5513,41
1,1,0,40,24015,5513,41
1,1,0,57,24013,5522,41
1,1,0,49,10018,5513,47
1,1,0,29,24013,5513,47
1,1,0,25,60410,5518,47
1,1,0,19,60001,5522,41
1,1,0,46,60002,5513,31
1,1,0,32,60003,5522,93
1,1,0,33,60913,5513,84
1,1,0,36,24015,5513,31
1,1,0,43,60311,5513,49
1,1,0,28,24015,5513,31
1,1,0,50,60188,5518,69
1,1,0,43,61041,5522,49
1,1,0,43,60111,5513,85
1,1,0,31,10018,5516,47
1,1,0,50,10018,5516,1
1,1,0,15,24013,5516,41
1,1,0,60,10018,5516,1
1,1,0,26,24015,5516,42
1,1,0,42,60915,5516,1
1,1,0,52,24015,5516,47
1,1,0,54,50715,5516,84
1,1,0,30,24015,5516,1
1,1,0,54,24015,5516,2
1,0,1,53,24015,0,0
1,1,0,20,35013,5516,85
1,1,0,52,24015,5516,84
1,1,0,53,24015,5516,1
1,1,0,50,24015,5503,49
1,1,0,57,10018,5516,46
1,1,0,44,10015,5516,41
1,1,0,54,24015,5516,41
1,1,0,57,50713,5516,1
1,1,0,58,10018,5516,47
1,1,0,62,10018,5516,1
1,1,0,60,10018,5516,96
1,1,0,42,24015,5516,8
1,1,0,47,24015,5516,1
1,1,0,23,24015,5503,53
1,1,0,45,60714,5516,84
1,1,0,25,35011,5532,13
1,1,0,68,10018,5532,32
1,1,0,63,60314,5532,1
1,1,0,48,60915,5532,11
